ID	Language_ID	Parameter_ID	Form	Value	Segments
eng-12_moustache-1	eng	12_moustache	məˈstɑːʃ	moustache	m ə s t ɑː ʃ
eng-427_benefit-1	eng	427_benefit	ˈpɹɒfɪt	profit	p ɹ ɒ f ɪ t
eng-240_tone-1	eng	240_tone	təʊn	tone	t ə ʊ n
eng-663_eleven-1	eng	663_eleven	ɪˈlevn	eleven	ɪ l e v n
eng-650_how-1	eng	650_how	haʊ	how	h a ʊ
eng-528_blue-1	eng	528_blue	bluː	blue	b l uː
eng-56_sky-1	eng	56_sky	skaɪ	sky	s k a ɪ
eng-24_breast-2	eng	24_breast	bɹest	breast	b ɹ e s t
eng-518_delicious-1	eng	518_delicious	dɪˈlɪʃəs	delicious	d ɪ l ɪ ʃ ə s
eng-493_smooth-1	eng	493_smooth	smuːð	smooth	s m uː ð
eng-228_message-1	eng	228_message	ˈmesɪd͡ʒ	message	m e s ɪ dʒ
eng-144_fox-1	eng	144_fox	fɒks	fox	f ɒ k s
eng-830_pickup-1	eng	830_pickup	ˌpɪk ˈʌp	pick up	p ɪ k + ʌ p
eng-630_infrontof-1	eng	630_infrontof	ɪn ˈfɹʌnt əv	in front of	ɪ n + f ɹ ʌ n t + ə v
eng-963_fry-1	eng	963_fry	fɹaɪ	fry	f ɹ a ɪ
eng-989_name-1	eng	989_name	neɪm	name	n e ɪ m
eng-596_once-1	eng	596_once	wʌns	once	w ʌ n s
eng-28_hand-1	eng	28_hand	hænd	hand	h æ n d
eng-398_medicine-1	eng	398_medicine	ˈmedsɪn	medicine	m e d s ɪ n
eng-161_perch-1	eng	161_perch	pɜːt͡ʃ	perch	p ɜː tʃ
eng-4_mouth-1	eng	4_mouth	maʊθ	mouth	m a ʊ θ
eng-384_strap-1	eng	384_strap	stɹæp	strap	s t ɹ æ p
eng-301_slab-1	eng	301_slab	slæb	slab	s l æ b
eng-436_enemy-1	eng	436_enemy	ˈenəmɪ	enemy	e n ə m ɪ
eng-689_thunder-1	eng	689_thunder	ˈθʌndə	thunder	θ ʌ n d ə
eng-514_clean-1	eng	514_clean	kliːn	clean	k l iː n
eng-65_ground-2	eng	65_ground	ɡɹaʊnd	ground	g ɹ a ʊ n d
eng-814_want-1	eng	814_want	wɒnt	want	w ɒ n t
eng-496_round-1	eng	496_round	ɹaʊnd	round	ɹ a ʊ n d
eng-887_take-1	eng	887_take	teɪk	take	t e ɪ k
eng-820_open-1	eng	820_open	ˈəʊpən	open	ə ʊ p ə n
eng-254_count-1	eng	254_count	ˈkaʊnt	count	k a ʊ n t
eng-979_comb-1	eng	979_comb	kəʊm	comb	k ə ʊ m
eng-860_knock-1	eng	860_knock	nɒk	knock	n ɒ k
eng-515_dirty-1	eng	515_dirty	ˈdɜːtɪ	dirty	d ɜː t ɪ
eng-235_word-1	eng	235_word	wɜːd	word	w ɜː d
eng-331_hook-1	eng	331_hook	hʊk	hook	h ʊ k
eng-354_slice-1	eng	354_slice	slaɪs	slice	s l a ɪ s
eng-964_stir-1	eng	964_stir	stɜː	stir	s t ɜː
eng-91_moor-1	eng	91_moor	mʊə	moor	m ʊ ə
eng-897_burn-1	eng	897_burn	bɜːn	burn	b ɜː n
eng-104_coast-1	eng	104_coast	kəʊst	coast	k ə ʊ s t
eng-482_little-1	eng	482_little	ˈlɪtl	little	l ɪ t l
eng-774_goaway-1	eng	774_goaway	ˌɡəʊ əˈweɪ	go away	g ə ʊ + ə w e ɪ
eng-815_start-1	eng	815_start	stɑːt	start	s t ɑː t
eng-957_chop-1	eng	957_chop	t͡ʃɒp	chop	tʃ ɒ p
eng-68_smoke-1	eng	68_smoke	sməʊk	smoke	s m ə ʊ k
eng-688_shine-1	eng	688_shine	ʃaɪn	shine	ʃ a ɪ n
eng-356_butter-1	eng	356_butter	ˈbʌtə	butter	b ʌ t ə
eng-1005_calculate-1	eng	1005_calculate	ˈkælkjʊleɪt	calculate	k æ l k j ʊ l e ɪ t
eng-844_turnover-1	eng	844_turnover	tɜːn	turn	t ɜː n
eng-39_body-1	eng	39_body	ˈbɒdɪ	body	b ɒ d ɪ
eng-541_slim-1	eng	541_slim	slɪm	slim	s l ɪ m
eng-74_fog-1	eng	74_fog	fɒɡ	fog	f ɒ g
eng-768_swim-1	eng	768_swim	swɪm	swim	s w ɪ m
eng-208_uncle-1	eng	208_uncle	ˈʌŋkl	uncle	ʌ ŋ k l
eng-346_kettle-1	eng	346_kettle	ˈketl	kettle	k e t l
eng-85_current-1	eng	85_current	ˈkʌɹənt	current	k ʌ ɹ ə n t
eng-653_one-1	eng	653_one	wʌn	one	w ʌ n
eng-727_howl-1	eng	727_howl	haʊl	howl	h a ʊ l
eng-684_end-1	eng	684_end	end	end	e n d
eng-893_damage-1	eng	893_damage	ˈdæmɪd͡ʒ	damage	d æ m ɪ dʒ
eng-508_wet-1	eng	508_wet	wet	wet	w e t
eng-422_money-1	eng	422_money	ˈmʌnɪ	money	m ʌ n ɪ
eng-426_ware-1	eng	426_ware	ˈweə	ware	w e ə
eng-1008_draw-1	eng	1008_draw	dɹɔː	draw	d ɹ ɔː
eng-127_paw-1	eng	127_paw	ˈklɔː	claw	k l ɔː
eng-120_willow-1	eng	120_willow	ˈwɪləʊ	willow	w ɪ l ə ʊ
eng-959_ripen-1	eng	959_ripen	ˈɹaɪpən	ripen	ɹ a ɪ p ə n
eng-598_afterwards-1	eng	598_afterwards	ˈɑːftəwədz	afterwards	ɑː f t ə w ə d z
eng-475_tuesday-1	eng	475_tuesday	ˈtjuːzdeɪ	Tuesday	t j uː z d e ɪ
eng-387_blanket-1	eng	387_blanket	ˈblæŋkɪt	blanket	b l æ ŋ k ɪ t
eng-20_back-1	eng	20_back	bæk	back	b æ k
eng-677_stand-1	eng	677_stand	stænd	stand	s t æ n d
eng-402_path-1	eng	402_path	pɑːθ	path	p ɑː θ
eng-856_cutoff-1	eng	856_cutoff	kʌt ˈɒf	cut off	k ʌ t + ɒ f
eng-850_press-1	eng	850_press	pɹes	press	p ɹ e s
eng-845_turnturnaround-1	eng	845_turnturnaround	tɜːn əˈɹaʊnd	turn around	t ɜː n + ə ɹ a ʊ n d
eng-360_honey-1	eng	360_honey	ˈhʌnɪ	honey	h ʌ n ɪ
eng-294_step-1	eng	294_step	step	step	s t e p
eng-105_land-1	eng	105_land	lænd	land	l æ n d
eng-619_everywhere-1	eng	619_everywhere	ˈevɹɪweə	everywhere	e v ɹ ɪ w e ə
eng-572_foreign-1	eng	572_foreign	ˈfɒɹən	foreign	f ɒ ɹ ə n
eng-823_place-1	eng	823_place	pleɪs	place	p l e ɪ s
eng-806_smell-1	eng	806_smell	smel	smell	s m e l
eng-278_angle-1	eng	278_angle	ˈæŋɡl	angle	æ ŋ g l
eng-224_truth-1	eng	224_truth	tɹuːθ	truth	t ɹ uː θ
eng-749_recover-1	eng	749_recover	ɹɪˈkʌvə	recover	ɹ ɪ k ʌ v ə
eng-939_disturb-1	eng	939_disturb	dɪˈstɜːb	disturb	d ɪ s t ɜː b
eng-1009_write-1	eng	1009_write	ɹaɪt	write	ɹ a ɪ t
eng-453_evening-1	eng	453_evening	ˈiːvnɪŋ	evening	iː v n ɪ ŋ
eng-166_ant-1	eng	166_ant	ænt	ant	æ n t
eng-946_work-1	eng	946_work	wɜːk	work	w ɜː k
eng-726_bark-1	eng	726_bark	bɑːk	bark	b ɑː k
eng-612_forward-1	eng	612_forward	ˈfɔːwəd	forward	f ɔː w ə d
eng-976_takeoff-1	eng	976_takeoff	teɪk ˈɒf	take off	t e ɪ k + ɒ f
eng-638_that-1	eng	638_that	ðæt	that	ð æ t
eng-962_bake-1	eng	962_bake	beɪk	bake	b e ɪ k
eng-36_knee-1	eng	36_knee	niː	knee	n iː
eng-88_dirt-1	eng	88_dirt	dɜːt	dirt	d ɜː t
eng-279_pattern-1	eng	279_pattern	ˈpætən	pattern	p æ t ə n
eng-876_keep-1	eng	876_keep	kiːp	keep	k iː p
eng-788_prepare-1	eng	788_prepare	pɹɪˈpeə	prepare	p ɹ ɪ p e ə
eng-580_second-1	eng	580_second	ˈsekənd	second	s e k ə n d
eng-485_wide-1	eng	485_wide	waɪd	wide	w a ɪ d
eng-627_already-1	eng	627_already	ɔːlˈɹedɪ	already	ɔː l ɹ e d ɪ
eng-439_bow-1	eng	439_bow	bəʊ	bow	b ə ʊ
eng-351_corn-1	eng	351_corn	kɔːn	corn	k ɔː n
eng-378_shoe-1	eng	378_shoe	ʃuː	shoe	ʃ uː
eng-370_paint-1	eng	370_paint	peɪnt	paint	p e ɪ n t
eng-633_through-1	eng	633_through	θɹuː	through	θ ɹ uː
eng-899_hand-1	eng	899_hand	hænd	hand	h æ n d
eng-826_connect-1	eng	826_connect	kəˈnekt	connect	k ə n e k t
eng-205_daughter-1	eng	205_daughter	ˈdɔːtə	daughter	d ɔː t ə
eng-668_fifty-1	eng	668_fifty	ˈfɪftɪ	fifty	f ɪ f t ɪ
eng-910_teach-1	eng	910_teach	tiːt͡ʃ	teach	t iː tʃ
eng-947_gather-1	eng	947_gather	ˈɡæðə	gather	g æ ð ə
eng-381_ribbon-1	eng	381_ribbon	ˈɹɪbən	ribbon	ɹ ɪ b ə n
eng-253_matter-1	eng	253_matter	ˈmætə	matter	m æ t ə
eng-700_freeze-1	eng	700_freeze	fɹiːz	freeze	f ɹ iː z
eng-724_rustle-1	eng	724_rustle	ˈɹʌsl	rustle	ɹ ʌ s l
eng-752_move-1	eng	752_move	muːv	move	m uː v
eng-326_fork-1	eng	326_fork	fɔːk	fork	f ɔː k
eng-408_book-1	eng	408_book	bʊk	book	b ʊ k
eng-866_cut-1	eng	866_cut	kʌt	cut	k ʌ t
eng-567_young-1	eng	567_young	jʌŋ	young	j ʌ ŋ
eng-1010_own-1	eng	1010_own	əʊn	own	ə ʊ n
eng-163_snake-1	eng	163_snake	sneɪk	snake	s n e ɪ k
eng-226_fairytale-1	eng	226_fairytale	ˈfeəɹɪ ˌteɪl	fairy tale	f e ə ɹ ɪ + t e ɪ l
eng-828_hangup-1	eng	828_hangup	ˌhæŋ ˈʌp	hang up	h æ ŋ + ʌ p
eng-470_september-1	eng	470_september	sepˈtembə	September	s e p t e m b ə
eng-960_cook-1	eng	960_cook	kʊk	cook	k ʊ k
eng-908_show-1	eng	908_show	ʃəʊ	show	ʃ ə ʊ
eng-263_gap-1	eng	263_gap	ɡæp	gap	g æ p
eng-447_age-1	eng	447_age	eɪd͡ʒ	age	e ɪ dʒ
eng-339_bag-1	eng	339_bag	bæɡ	bag	b æ g
eng-574_near-1	eng	574_near	nɪə	near	n ɪ ə
eng-212_joy-1	eng	212_joy	ˈd͡ʒɔɪ	joy	dʒ ɔ ɪ
eng-666_thirty-1	eng	666_thirty	ˈθɜːtɪ	thirty	θ ɜː t ɪ
eng-584_atonce-1	eng	584_atonce	ət ˈwʌns	at once	ə t + w ʌ n s
eng-249_company-1	eng	249_company	ˈkʌmpənɪ	company	k ʌ m p ə n ɪ
eng-722_tinkle-1	eng	722_tinkle	ˈtɪŋɬl	tinkle	t ɪ ŋ ɬ l
eng-202_father-1	eng	202_father	ˈfɑːðə	father	f ɑː ð ə
eng-810_hear-1	eng	810_hear	hɪə	hear	h ɪ ə
eng-862_glue-1	eng	862_glue	ɡluː	glue	g l uː
eng-62_wave-1	eng	62_wave	weɪv	wave	w e ɪ v
eng-681_become-1	eng	681_become	bɪˈkʌm	become	b ɪ k ʌ m
eng-330_net-1	eng	330_net	net	net	n e t
eng-312_chair-1	eng	312_chair	t͡ʃeə	chair	tʃ e ə
eng-200_grandmother-1	eng	200_grandmother	ˈɡɹænˌmʌðə	grandmother	g ɹ æ n m ʌ ð ə
eng-676_or-1	eng	676_or	ɔː	or	ɔː
eng-751_perish-1	eng	751_perish	ˈpeɹɪʃ	perish	p e ɹ ɪ ʃ
eng-20_back-2	eng	20_back	spaɪn	spine	s p a ɪ n
eng-821_close-1	eng	821_close	kləʊz	close	k l ə ʊ z
eng-332_handle-1	eng	332_handle	ˈhændl	handle	h æ n d l
eng-106_sea-1	eng	106_sea	siː	sea	s iː
eng-51_tear-1	eng	51_tear	tɪə	tear	t ɪ ə
eng-1000_know-1	eng	1000_know	nəʊ	know	n ə ʊ
eng-741_sleep-1	eng	741_sleep	sliːp	sleep	s l iː p
eng-469_august-1	eng	469_august	ˈɔːɡəst	August	ɔː g ə s t
eng-937_shove-1	eng	937_shove	ʃʌv	shove	ʃ ʌ v
eng-357_oil-1	eng	357_oil	ɔɪl	oil	ɔ ɪ l
eng-883_bring-1	eng	883_bring	bɹɪŋ	bring	b ɹ ɪ ŋ
eng-142_squirrel-1	eng	142_squirrel	ˈskwɪɹəl	squirrel	s k w ɪ ɹ ə l
eng-276_end-1	eng	276_end	end	end	e n d
eng-1016_endure-1	eng	1016_endure	ɪnˈdjʊə	endure	ɪ n d j ʊ ə
eng-840_dig-1	eng	840_dig	dɪɡ	dig	d ɪ g
eng-767_creep-1	eng	767_creep	kɹiːp	creep	k ɹ iː p
eng-955_feed-1	eng	955_feed	fiːd	feed	f iː d
eng-412_death-1	eng	412_death	deθ	death	d e θ
eng-760_rush-1	eng	760_rush	ɹʌʃ	rush	ɹ ʌ ʃ
eng-744_relax-1	eng	744_relax	ɹɪˈlæks	relax	ɹ ɪ l æ k s
eng-216_wish-1	eng	216_wish	wɪʃ	wish	w ɪ ʃ
eng-157_crow-1	eng	157_crow	kɹəʊ	crow	k ɹ ə ʊ
eng-707_snap-1	eng	707_snap	snæp	snap	s n æ p
eng-705_rot-1	eng	705_rot	ɹɒt	rot	ɹ ɒ t
eng-373_collar-1	eng	373_collar	ˈkɒlə	collar	k ɒ l ə
eng-393_health-1	eng	393_health	helθ	health	h e l θ
eng-8_cheek-1	eng	8_cheek	t͡ʃiːk	cheek	tʃ iː k
eng-54_sleep-1	eng	54_sleep	sliːp	sleep	s l iː p
eng-816_finish-1	eng	816_finish	ˈfɪnɪʃ	finish	f ɪ n ɪ ʃ
eng-218_spirit-1	eng	218_spirit	ˈspɪɹɪt	spirit	s p ɪ ɹ ɪ t
eng-659_seven-1	eng	659_seven	ˈsevn	seven	s e v n
eng-832_lose-1	eng	832_lose	luːz	lose	l uː z
eng-268_side-1	eng	268_side	saɪd	side	s a ɪ d
eng-27_elbow-1	eng	27_elbow	ˈelbəʊ	elbow	e l b ə ʊ
eng-642_he-1	eng	642_he	hiː	he	h iː
eng-776_stop-1	eng	776_stop	stɒp	stop	s t ɒ p
eng-222_meaning-1	eng	222_meaning	ˈmiːnɪŋ	meaning	m iː n ɪ ŋ
eng-933_annoy-1	eng	933_annoy	əˈnɔɪ	annoy	ə n ɔ ɪ
eng-281_length-1	eng	281_length	leŋθ	length	l e ŋ θ
eng-29_palm-1	eng	29_palm	pɑːm	palm	p ɑː m
eng-434_border-1	eng	434_border	ˈbɔːdə	border	b ɔː d ə
eng-340_bucket-1	eng	340_bucket	ˈbʌkɪt	bucket	b ʌ k ɪ t
eng-1002_forget-1	eng	1002_forget	fəˈɡet	forget	f ə g e t
eng-441_gun-1	eng	441_gun	ɡʌn	gun	g ʌ n
eng-335_figure-1	eng	335_figure	ˈfɪɡə	figure	f ɪ g ə
eng-698_smoke-1	eng	698_smoke	sməʊk	smoke	s m ə ʊ k
eng-634_nextto-1	eng	634_nextto	ˈneks tə	next to	n e k s + t ə
eng-53_odour-1	eng	53_odour	ˈəʊdə	odour	ə ʊ d ə
eng-95_elevation-1	eng	95_elevation	elɪˈveɪʃn	elevation	e l ɪ v e ɪ ʃ n
eng-875_pull-1	eng	875_pull	pʊl	pull	p ʊ l
eng-635_between-1	eng	635_between	bɪˈtwiːn	between	b ɪ t w iː n
eng-391_force-1	eng	391_force	fɔːs	force	f ɔː s
eng-382_comb-1	eng	382_comb	kəʊm	comb	k ə ʊ m
eng-299_wood-1	eng	299_wood	wʊd	wood	w ʊ d
eng-251_friend-1	eng	251_friend	fɹend	friend	f ɹ e n d
eng-783_wait-1	eng	783_wait	weɪt	wait	w e ɪ t
eng-379_boot-1	eng	379_boot	buːt	boot	b uː t
eng-236_sign-1	eng	236_sign	saɪn	sign	s a ɪ n
eng-100_source-1	eng	100_source	sɔːs	source	s ɔː s
eng-543_evil-1	eng	543_evil	ˈiːvl	evil	iː v l
eng-861_hit-1	eng	861_hit	hɪt	hit	h ɪ t
eng-290_ski-1	eng	290_ski	skiː	ski	s k iː
eng-553_hungry-1	eng	553_hungry	ˈhʌŋɡɹɪ	hungry	h ʌ ŋ g ɹ ɪ
eng-167_louse-1	eng	167_louse	laʊs	louse	l a ʊ s
eng-622_hardly-1	eng	622_hardly	ˈhɑːdlɪ	hardly	h ɑː d l ɪ
eng-283_weight-1	eng	283_weight	weɪt	weight	w e ɪ t
eng-215_grief-1	eng	215_grief	ɡɹiːf	grief	g ɹ iː f
eng-73_weather-1	eng	73_weather	ˈweðə	weather	w e ð ə
eng-349_dish-1	eng	349_dish	dɪʃ	dish	d ɪ ʃ
eng-894_break-1	eng	894_break	bɹeɪk	break	b ɹ e ɪ k
eng-534_precious-1	eng	534_precious	ˈpɹeʃəs	precious	p ɹ e ʃ ə s
eng-184_filth-1	eng	184_filth	fɪlθ	filth	f ɪ l θ
eng-931_shoot-1	eng	931_shoot	ʃuːt	shoot	ʃ uː t
eng-956_milk-1	eng	956_milk	mɪlk	milk	m ɪ l k
eng-570_familiar-1	eng	570_familiar	fəˈmɪljə	familiar	f ə m ɪ l j ə
eng-984_chat-1	eng	984_chat	t͡ʃæt	chat	tʃ æ t
eng-795_beannoyed-1	eng	795_beannoyed	biː əˈnɔɪd	be annoyed	b iː + ə n ɔ ɪ d
eng-135_bull-1	eng	135_bull	bʊl	bull	b ʊ l
eng-65_ground-1	eng	65_ground	sɔɪl	soil	s ɔ ɪ l
eng-159_swan-1	eng	159_swan	swɒn	swan	s w ɒ n
eng-990_call-1	eng	990_call	kɔːl	call	k ɔː l
eng-854_bite-1	eng	854_bite	baɪt	bite	b a ɪ t
eng-258_half-1	eng	258_half	hɑːf	half	h ɑː f
eng-213_laughter-1	eng	213_laughter	ˈlɑːftə	laughter	l ɑː f t ə
eng-139_dog-1	eng	139_dog	dɒɡ	dog	d ɒ g
eng-55_dream-1	eng	55_dream	dɹiːm	dream	d ɹ iː m
eng-280_size-1	eng	280_size	saɪz	size	s a ɪ z
eng-1011_buy-1	eng	1011_buy	baɪ	buy	b a ɪ
eng-716_grow-1	eng	716_grow	ɡɹəʊ	grow	g ɹ ə ʊ
eng-214_happiness-1	eng	214_happiness	ˈhæpɪnes	happiness	h æ p ɪ n e s
eng-165_spider-1	eng	165_spider	ˈspaɪdə	spider	s p a ɪ d ə
eng-745_fallill-1	eng	745_fallill	fɔːl ˈɪl	fall ill	f ɔː l + ɪ l
eng-257_part-1	eng	257_part	pɑːt	part	p ɑː t
eng-152_goose-1	eng	152_goose	ɡuːs	goose	g uː s
eng-355_fat-1	eng	355_fat	fæt	fat	f æ t
eng-300_board-1	eng	300_board	bɔːd	board	b ɔː d
eng-444_damage-1	eng	444_damage	ˈdæmɪd͡ʒ	damage	d æ m ɪ dʒ
eng-130_nest-1	eng	130_nest	nest	nest	n e s t
eng-942_deceive-1	eng	942_deceive	dɪˈsiːv	deceive	d ɪ s iː v
eng-67_dust-1	eng	67_dust	dʌst	dust	d ʌ s t
eng-42_vein-1	eng	42_vein	veɪn	vein	v e ɪ n
eng-536_deaf-1	eng	536_deaf	def	deaf	d e f
eng-757_walk-1	eng	757_walk	wɔːk	walk	w ɔː k
